AAA000LADESCRIPCIONDELAUTO          WOLKSWAGEN          NARANJA   G100099
AAA001LADESCRIPCIONDELAUTO          WOLKSWAGE1          NARANJA   G100099
AAA002LADESCRIPCIONDELAUTO          WOLKSWAGE2          AMARILLO  G100099
AAA008LADESCRIPCIONDELAUTO          WOLKSWAGE3          VERDE     G100099
AAA088LADESCRIPCIONDELAUTO          WOLKSWAGE4          ROJO      G100099
BAA088LADESCRIPCIONDELAUTO          WOLKSWAGE5          GRIS      G100099
CAA088LADESCRIPCIONDELAUTO          WOLKSWAGE1          NARANJA   G100099
AAA088LADESCRIPCIONDELAUTO          WOLKSWAGE2          ROSA      G100099
HRK903LADESCRIPCIONDELAUTO          WOLKSWAGE3          MAGENTA   G100099
ZRI180LADESCRIPCIONDELAUTO          WOLKSWAGEN          AZUL      G100099
